Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
18252800, 16787370, 6125902, 42419068, 17587165, 43713132, 17587165
18298880, 16828265, 6141354, 42425592, 17587165, 43720802, 17587165
18344960, 16869496, 6156806, 42432750, 17587165, 43727852, 17587165
18391040, 16911412, 6172273, 42639149, 17587165, 43720552, 17587165
18437120, 16952307, 6187726, 42661892, 17587165, 43726903, 17587165
18483200, 16993873, 6203178, 42668691, 17587165, 43734200, 17587165
18529280, 17035103, 6218630, 42699648, 17587165, 43740017, 17587165
18575360, 17077339, 6234082, 42706250, 17587165, 43747138, 17587165
18621440, 17120580, 6249534, 42712534, 17587165, 43753950, 17587165
18667520, 17162145, 6264986, 42719168, 17587165, 43761103, 17587165
18713600, 17204716, 6280439, 42725767, 17587165, 43768230, 17587165
18759680, 17246281, 6295891, 42732712, 17587165, 43775076, 17587165
18805760, 17287847, 6311343, 42792108, 17587165, 43908002, 17587165
18851840, 17328743, 6326795, 42798336, 17587165, 43915424, 17587165
18897920, 17370308, 6342247, 42804853, 17587165, 43922676, 17587165
18944000, 17411204, 6357699, 42811142, 17587165, 43929996, 17587165
18990080, 17453119, 6373167, 42817339, 17587165, 43937387, 17587165
